Al,V,Cr,Fe,Co,Ni,System_Type_Input,System_Size,System_Type,Solidification Range (K),PROP RT Density (g/cm3),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),Sconf,Yield Strength (MPa),C_11_Avg,Predicted SFE,PROP 700C VOL EXPCF (1/K)
0.0,0.0,0.35,0.2,0.4,0.05,0.1929824561403509,4,11,16.46888870735302,7.98819370127558,25.73072849281744,11.76023323776386,1.205628232488719,1946.762014845794,0.3705598350545181,-330.5239230057685,4.08033765047547e-05
0.25,0.3,0.05,0.15,0.15,0.1,0.01754385964912281,6,1,36.45322802990813,6.430803412348044,24.7200975427404,17.10934827299943,1.656946550020622,4479.977640841053,0.2163666721536727,5.053413632898293,4.281847643289999e-05
0.15,0.1,0.0,0.3,0.05,0.4,0.05263157894736842,5,3,14.99478210881216,7.421117359414066,26.86901928609586,18.91990437837378,1.392321254757429,3806.925177358443,0.3585347078848924,360.3690235006624,2.500341288288292e-05
0.0,0.1,0.4,0.2,0.15,0.15,0.08771929824561403,5,5,75.42972384366794,7.688440070985314,25.33302743177046,34.53197387728565,1.487798380001651,3302.114132989811,0.2138452745213318,-69.52381784553506,3.600342219311233e-05
0.45,0.1,0.05,0.1,0.15,0.15,0.01754385964912281,6,1,84.464254167322,5.77472986287043,24.73218415980228,21.22303327331249,1.53876809104027,3935.014840126047,0.3358421291938247,-266.0602096345781,5.568868339953695e-05
0.1,0.0,0.05,0.0,0.6,0.25,0.3684210526315789,4,21,3.887041154604958,8.171695822379041,27.43031472709845,51.11670327306861,1.033114087516671,1693.669906735849,0.7999732472085705,-22.11595026161653,2.540209840751688e-05
0.15,0.0,0.2,0.5,0.0,0.15,0.2807017543859649,4,16,96.84309324628884,7.123332431557147,26.28222412022296,36.91933122701571,1.237597168232557,2229.927691798476,0.05887629696438157,405.9271829092696,3.29086481350405e-05
0.0,0.2,0.05,0.05,0.1,0.6,0.08771929824561403,5,5,21.58246439889399,8.034148591013324,25.02524295778131,8.228730243657242,1.158214693401218,4800.794106854461,0.5885637534199901,134.883340469922,4.641792649837874e-05
0.0,0.65,0.1,0.0,0.25,0.0,0.7017543859649122,3,40,242.224672366327,7.301169828973576,24.43163588759489,6.418960169502219,0.8568409950394724,4363.997338254474,0.1587624339378852,108.2166378746333,3.195444651599243e-05
0.2,0.15,0.1,0.05,0.15,0.35,0.01754385964912281,6,1,115.6857976317931,7.159281027398595,27.17224973457633,22.30791617684801,1.638506444504226,4747.557647880706,0.4624938718029467,288.4792761014588,3.99245070160796e-05
0.1,0.1,0.1,0.5,0.15,0.05,0.01754385964912281,6,1,21.75770117841512,7.387531522206172,25.87973929621512,17.56139319586726,1.471703729588768,2893.530716020636,0.09010283687260313,191.3994078926131,3.37052198837937e-05
0.1,0.0,0.55,0.05,0.05,0.25,0.07017543859649122,5,4,287.989864119595,7.338453341122371,24.41969071878702,54.84229225346429,1.205215677350367,2954.760499120274,0.2698978834249097,-158.3501437659495,2.634845454471305e-05
0.15,0.1,0.15,0.15,0.4,0.05,0.01754385964912281,6,1,60.19299160963192,7.322130352321635,28.17717847938184,24.61342013804063,1.600265408925412,3528.957575797787,0.404695679923133,81.87897542910025,4.172360532136716e-05
0.1,0.5,0.0,0.2,0.0,0.2,0.2456140350877193,4,14,83.32824271973095,6.763194723217342,25.51383634272497,7.823869554954514,1.220607264553017,5310.766419517445,0.1007702883940453,178.1488714867096,3.614682820617838e-05
0.3,0.2,0.3,0.15,0.05,0.0,0.1228070175438596,5,7,106.125235848159,5.866776444555732,24.16331890708534,18.04023077469567,1.478625876492963,2173.975738137772,0.05325164070762116,-106.1398066300262,4.800613006549072e-05
0.0,0.4,0.2,0.2,0.15,0.05,0.08771929824561403,5,5,129.4145535033622,7.218106783650921,24.33169387404632,3.905374123593143,1.444646069133884,4442.980628364018,0.09514563213728486,75.40096666795272,3.646514299150119e-05
0.15,0.35,0.3,0.0,0.1,0.1,0.1052631578947368,5,6,189.6571320697028,6.545813080567938,25.90607314414228,28.90019972839996,1.473714601204009,3638.159962703986,0.1698177927873797,66.03176359752753,3.813945363644698e-05
