Ti,V,Nb,Mo,Hf,Ta,W,System Type,System Size,PROP ST (K),PROP LT (K),PROP RT Density (g/cm3),PROP RT Elec Resi (ohm m),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),PROP RT Therm Diff (m2/s),EQ 25C MAX BCC,EQ 25C MAX any,EQ 700C MAX BCC,EQ 800C MAX BCC,EQ 900C MAX BCC,EQ 1000C MAX BCC,EQ 1000C THCD (W/mK),Melting Point (°C)_Avg,Melting Point (°C)_Var,Sconf,Solidification Range (K),EQ 25C MAX NON-BCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Bulk Modulus (GPa)_Avg,Bulk Modulus (GPa)_Var,Pugh Ratio
0.05,0.0,0.575,0.1,0.0,0.225,0.05,17,5,2851.22927,2896.812662,10.93683736,4.02e-07,24.59651183,11.79984829,5.06e-06,0.951230931,0.951230931,1,1,1,1,17.00658944,2619.9,353.1239018,1.183650596,45.583392,0.0,-0.1615,1.273531605,-0.665,1.640129568,0.216,0.514445332,1.6685,0.240785693,10.8815,4.017892825,115.31505,41.92587627,8.95,6.316446786,686.0525,48.13002175,3.715,8.85100418,21.25,50.60620021,59.625,34.33998216,49.0,15.45962483,2.171974213,5.178467997,16.65,39.77093788,36.15,94.43319067,-9.75,31.35861126,186.75,37.97285214,3.132075472
0.1,0.0,0.475,0.1,0.0,0.325,0.0,58,4,2841.128002,2886.44281,11.03186737,2.28e-07,24.734845,10.16940621,4.37e-06,0.903101577,0.903101577,1,1,1,1,14.94806576,2586.2,387.8466965,1.179403526,45.31480800000008,0.0,-0.437,1.724819121,-0.965,2.000256234,0.285,0.570355153,1.6175,0.186182035,10.952,4.179274578,117.3208,46.11954809,9.55,6.572480506,691.3825,49.1863949,5.02,10.04995522,28.6,57.22796519,56.875,25.14079106,49.6,17.17672844,2.842990919,5.6970759,22.8,45.77728694,41.1,95.0015263,-9.15,31.65284347,179.75,30.28923076,3.16043956
0.05,0.0,0.6,0.05,0.0,0.225,0.075,17,5,2834.796003,2903.770741,11.10040764,3.57e-07,24.61701911,11.59446922,4.98e-06,0.950526212,0.950526212,1,1,1,1,16.90205373,2636.225,375.5317888,1.135960986,68.97473799999989,0.0,-0.2185,1.239049131,-0.4825,1.494429239,0.1425,0.427736777,1.6595,0.240602889,11.067,4.239127387,117.4362,43.17957183,9.275,6.542123126,687.39,50.19517307,2.51,7.536637181,14.3,42.91864397,58.6,35.5603712,49.775,15.91145421,1.42149546,4.27188322,11.4,34.31821674,20.55,70.24918149,-4.575,22.84473408,187.25,41.65258095,3.195392491
0.0,0.05,0.6,0.075,0.0,0.2,0.075,16,5,2812.536558,2894.455293,11.0657146,3.75e-07,24.54093942,12.84469028,5.46e-06,0.950424948,0.950424948,1,1,1,1,17.65978741,2638.475,341.9003501,1.166709645,81.9187350000002,0.0,0.112,0.314596567,-0.44875,1.18756513,0.18675,0.494203336,1.6805,0.249809427,10.98625,4.034295904,115.46495,41.83731826,9.0,6.336402765,685.0775,49.03766148,3.0525,8.077344474,17.125,45.31676704,60.025,36.74403863,49.05,15.42554699,1.933247647,5.118709088,8.875,27.71478622,36.35,96.61018321,-13.7375,36.45150674,190.5,38.79110723,3.173677634
0.05,0.025,0.55,0.125,0.0,0.25,0.0,28,5,2808.108311,2859.988853,10.70215158,5.3e-09,24.61746238,10.78866624,4.59e-06,0.919472155,0.919472155,1,1,1,1,15.97102702,2575.625,326.4948459,1.177322733,51.88054199999988,0.0,-0.11975,1.29349814,-0.84375,1.749185078,0.291,0.58238647,1.64275,0.200187256,10.52875,3.714370194,111.99645,41.4740817,8.575,6.032775066,683.655,45.83633902,4.94,9.887284764,28.075,56.18068507,56.525,27.22864989,47.725,15.39640786,2.950978349,5.914300666,19.775,41.87510448,50.425,108.5927915,-15.325,38.31947123,181.75,26.82233211,3.21539142
0.125,0.0,0.525,0.1,0.0,0.25,0.0,58,4,2793.343428,2840.742125,10.31133683,2.3e-07,24.68674655,11.04410934,4.75e-06,0.877494075,0.877494075,1,1,1,1,16.3731291,2525.475,393.0545756,1.175049726,47.39869700000008,0.0,-0.57475,1.895952251,-1.115,2.142200971,0.3195,0.593346231,1.6235,0.183732822,10.24425,3.981807308,109.591525,43.74951741,8.475,6.095028712,683.3825,45.77666375,5.6725,10.53826332,32.275,59.92953675,54.7,25.26380811,46.725,16.38442477,3.178499272,5.910926133,25.875,48.20901757,43.575,95.18794238,-8.85,31.79469295,176.0,31.60696126,3.217550274
0.0,0.025,0.625,0.075,0.025,0.175,0.075,3,6,2788.567491,2876.208628,11.27434199,3.74e-09,24.54948053,11.994969,5.05e-06,0.929811054,0.929811054,1,1,1,1,18.75797662,2633.05,323.6967678,1.171755944,87.64113700000007,0.0,0.09875,0.307800158,-0.36125,1.083944619,0.1485,0.445575751,1.67475,0.255489604,10.96425,3.893534954,116.45255,40.62172882,8.975,6.298759799,682.545,47.64260147,2.43,7.290822999,13.775,41.33067112,58.825,37.10922224,49.475,14.87445377,1.529482889,4.591107937,8.375,27.68996885,29.875,89.91834838,-10.75,32.32433294,188.5,40.59248699,3.20441989
0.05,0.0,0.575,0.05,0.025,0.25,0.05,8,6,2786.449229,2877.510396,11.17225902,3.29e-07,24.67724276,11.05206172,4.79e-06,0.925724809,0.925724809,1,1,1,1,15.97705466,2620.0,363.8413116,1.20635193,91.0611670000003,0.0,-0.2185,1.239049131,-0.4825,1.494429239,0.1425,0.427736777,1.6305,0.220362769,11.1205,4.128250204,119.50355,43.91993665,9.575,6.606388953,687.325,49.74065616,2.51,7.536637181,14.3,42.91864397,56.1,31.75988035,50.525,16.18176057,1.42149546,4.27188322,11.4,34.31821674,20.55,70.24918149,-4.575,22.84473408,183.0,38.54867053,3.262032086
0.025,0.05,0.6,0.05,0.0,0.175,0.1,5,6,2769.735088,2875.366025,10.9668607,3.62e-07,24.54491467,13.66557041,5.8e-06,0.933430991,0.933430991,1,1,1,1,19.03931112,2624.725,389.8872906,1.233568726,105.6309369999999,0.0,-0.05425,0.913829545,-0.5075,1.386026244,0.1845,0.488528147,1.6865,0.260466409,10.90875,4.267453097,114.335125,43.16795485,8.975,6.408929318,684.665,49.57781535,3.1025,8.212535769,17.325,45.8685009,60.425,38.97876826,48.575,15.99982422,1.893516623,5.022317652,9.325,29.36868017,31.025,86.6240404,-10.85,33.69721799,190.25,44.52457187,3.148531237
0.0,0.075,0.55,0.1,0.0,0.25,0.025,16,5,2769.025866,2862.28148,11.22286021,5.4e-09,24.5823134,10.28249766,4.26e-06,0.894068169,0.894068169,1,1,1,1,15.88715285,2607.7,323.0888577,1.192134474,93.25561400000015,0.0,0.15375,0.356915168,-0.6275,1.362807305,0.26175,0.568457947,1.65225,0.213629206,10.8355,3.841904443,114.34745,42.63713646,8.975,6.238940214,685.4025,48.03174204,4.2775,9.288958163,23.95,52.01151315,57.7,30.14730502,48.575,15.81911423,2.712251782,5.893686645,12.0,31.44041984,50.625,110.4653085,-19.3125,42.06270431,186.25,28.60834668,3.227902946
0.15,0.0,0.575,0.125,0.0,0.15,0.0,58,4,2760.812214,2799.282057,9.428908241,2.34e-07,24.60301243,13.6060716,5.85e-06,0.852092574,0.852092574,1,1,1,1,20.11104056,2454.9,379.5895678,1.1472627,38.46984299999986,0.0,-0.684,2.061215418,-1.35625,2.286022405,0.39075,0.63489128,1.646,0.197797877,9.37525,3.458522797,99.73725,37.70319461,7.075,5.036802061,673.465,38.19367454,6.9275,11.2602173,39.425,64.04798494,53.8,27.21047592,43.075,14.267774,3.889247002,6.32854493,31.575,51.48295228,53.85,103.6259017,-11.1375,35.16514388,173.0,33.40658618,3.215613383
