Alloy,EQ RT Phase,Pareto,Targ_Ti,Targ_V,Targ_Nb,Targ_Mo,Targ_Hf,Targ_Ta,Targ_W,Target System Type,Target System Size,EQ RT Phase.1,Meas_Ti,Meas_V,Meas_Nb,Meas_Mo,Meas_Hf,Meas_Ta,Meas_W,System Type,System_Size,Atomic Flat % DistanceError,Ti,V,Nb,Mo,Hf,Ta,W,PROP ST (K),PROP ST (°C),PROP LT (K),PROP LT (°C),PROP RT Density (g/cm3),PROP RT Elec Resi (ohm m),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),PROP RT Therm Diff (m2/s),EQ 25C MAX BCC,EQ 25C MAX any,EQ 700C MAX BCC,EQ 800C MAX BCC,EQ 900C MAX BCC,EQ 1000C MAX BCC,EQ 1000C THCD (W/mK),Melting Point (°C)_Avg,Melting Point (°C)_Var,Sconf,Solidification Range (K),Hardness (Vickers),Hardness (GPa),Hardness stdev (GPa),Specific Hardness (GPa / (g/cm3)),Specific Hardness stdev (GPa / (g/cm3)),N_trials_hardness,Specific Hardness sterr (GPa / (g/cm3)),Modulus (GPa),Modulus stdev (GPa),Specific Modulus (GPa / (g/cm3)),Specific Modulus stdev (GPa / (g/cm3)),N_trials_modulus,Specific Modulus sterr (GPa / (g/cm3)),Iteration,hypervolume,Shear Modulus RoM (GPa)_Avg,Shear Modulus RoM (GPa)_Var,Bulk Modulus RoM (GPa)_Avg,Bulk Modulus RoM (GPa)_Var,Pugh Ratio
A01,BCC,,0.15,0.075,0.45,0.1,0.05,0.175,0,2,6,BCC,0.097,0.141,0.45,0.073,0.037,0.202,0,2,6,9.4,0.1,0.175,0.425,0.05,0.05,0.2,0,2495.515047,2222.365047,2689.6341,2416.4841,10.07770007,1.62E-08,24.68724863,11.33879528,4.69E-06,0.725464361,0.725464361,1,1,1,1,18.78670679,2410.025,417.0570397,1.52323125,194.1190527,425.9798907,4.177584788,0.053009076,0.414537519,0.005260037,20,0.00117618,149.7834273,1.971475241,14.86285821,0.195627497,19,0.044880026,1,8.3503,52.8,25.2232036,168.5,35.25265947,3.191287879
A02,BCC,,0,0.1,0.6,0.05,0.025,0.15,0.075,3,6,BCC,0,0.098,0.517,0.056,0.059,0.176,0.094,3,6,9.6,0,0.125,0.55,0.075,0.05,0.15,0.05,2635.79029,2362.64029,2794.76451,2521.61451,11.04672138,6.76E-09,24.53217678,12.89880827,5.28E-06,0.866251653,0.866251653,1,1,1,1,19.69510543,2573.375,368.9604781,1.257600519,158.9742191,488.419399,4.789929046,0.124541087,0.433606396,0.011274032,20,0.00252095,165.4883452,2.590285484,14.98076574,0.234484549,20,0.052432339,1,8.3503,56.675,35.72071353,185.5,40.5555175,3.273048081
A03,C15 Laves,,0.125,0.1,0.575,0.075,0.025,0,0.1,4,6,C15 Laves,0.145,0,0.657,0.083,0,0,0.115,unknown,4,13.4,0.15,0,0.65,0.05,0.05,0.025,0.075,2465.967487,2192.817487,2631.611739,2358.461739,9.407611134,1.70E-08,24.47409554,33.48518727,1.37E-05,0.713759674,0.713759674,1,1,1,1,33.25208637,2418.525,450.4767468,1.325135747,165.6442526,387.0354636,3.795656791,0.076281094,0.403466591,0.008108445,20,0.001813103,155.3453618,1.677413477,16.51273204,0.17830387,20,0.039869957,1,8.3503,57.9,40.43995549,178.5,52.0360452,3.082901554
A04,BCC #2,,0.2,0.125,0.375,0.05,0,0.15,0.1,5,6,BCC #2,0.202,0.125,0.375,0.049,0,0.145,0.129,5,6,3,0.2,0.15,0.4,0,0.025,0.175,0.05,2483.497911,2210.347911,2688.386936,2415.236936,9.888857727,4.45E-07,24.64372795,15.45833589,6.41E-06,0.645629002,0.645629002,1,1,1,1,21.53657737,2427.125,550.1846139,1.614241866,204.8890247,468.4641035,4.594227463,0.137339379,0.464586264,0.013888296,20,0.003105517,154.3985336,2.698826907,15.61338406,0.27291594,13,0.075693263,1,8.3503,61.375,38.26466222,178.25,54.21657957,2.904276986
A05,BCC,,0.175,0.075,0.475,0,0.05,0.15,0.075,6,6,BCC,0.193,0.068,0.442,0,0.049,0.155,0.093,6,6,4.3,0.225,0.05,0.45,0,0.075,0.15,0.05,2384.067066,2110.917066,2623.338623,2350.188623,10.40546666,1.75E-08,24.71686751,11.68527184,4.82E-06,0.692773489,0.692773489,1,1,1,1,20.15553074,2432.575,500.3658106,1.48152354,239.2715575,430.9146883,4.225980348,0.100634544,0.406130785,0.009671315,20,0.002162572,145.2457023,1.158939828,13.95859571,0.111377977,13,0.030890693,1,8.3503,53.2,32.60920116,170.75,49.21318421,3.209586466
A06,BCC,,0.225,0,0.4,0.05,0.075,0.2,0.05,8,6,BCC,0.218,0,0.401,0.049,0.073,0.203,0.056,8,6,1,0.225,0,0.4,0.05,0.075,0.225,0.025,2491.575673,2218.425673,2696.687889,2423.537889,10.32798589,4.43E-07,24.82143009,13.14670006,5.72E-06,0.700628903,0.700628903,1,1,1,1,18.86716958,2439.225,504.314906,1.517869487,205.1122156,384.6018524,3.771790366,0.111312785,0.36520096,0.010777782,20,0.002409985,148.8330189,1.545154595,14.41065281,0.149608511,20,0.03345348,1,8.3503,55.2,31.65296195,168,49.15282291,3.043478261
A07,BCC,,0,0.15,0.6,0,0.025,0.15,0.075,13,5,BCC,0,0.141,0.6,0,0.023,0.152,0.084,13,5,1.3,0,0.1,0.625,0,0.025,0.15,0.1,2542.653503,2269.503503,2741.306765,2468.156765,10.92392994,8.34E-09,24.55410594,12.56680052,5.10E-06,0.831988886,0.831988886,1,1,1,1,19.26605114,2537.725,395.9054172,1.162123393,198.6532619,384.7194988,3.772944125,0.060951004,0.345383405,0.005579586,20,0.001247633,156.697188,2.641376504,14.34439701,0.241797276,20,0.054067515,1,8.3503,53.025,32.66227755,182,39.57271787,3.432343234
A08,BCC,,0.2,0,0.45,0,0.05,0.225,0.075,14,5,BCC,0.187,0,0.457,0,0.047,0.226,0.083,14,5,1.7,0.175,0,0.475,0,0.05,0.25,0.05,2489.898816,2216.748816,2715.145238,2441.995238,10.65674662,2.45E-07,24.81473711,12.21160607,5.30E-06,0.750196609,0.750196609,1,1,1,1,18.09603696,2495.375,515.8703659,1.360895044,225.2464222,398.1697842,3.904851074,0.23141309,0.366420561,0.021715172,20,0.00485566,152.1546292,1.599986527,14.27777489,0.150138366,20,0.033571959,1,8.3503,55,32.74599212,172.25,50.66988751,3.131818182
A09,BCC,,0.15,0.175,0.4,0,0,0.225,0.05,15,5,BCC,0.145,0.169,0.398,0,0,0.225,0.063,15,5,1.5,0.125,0.175,0.4,0,0,0.225,0.075,2397.433049,2124.283049,2633.998621,2360.848621,10.46044558,1.86E-08,24.70883371,10.52041925,4.20E-06,0.65287186,0.65287186,1,1,1,1,18.04586591,2425.175,511.8673113,1.44151288,236.5655712,397.5755392,3.899023313,0.075557939,0.372739697,0.007223205,20,0.001615158,149.4147255,1.744569716,14.28378212,0.166777763,20,0.037292642,1,8.3503,53.6,27.36585464,173,41.60528813,3.22761194
A10,BCC,,0,0.25,0.4,0.1,0,0.15,0.1,16,5,BCC,0,0.246,0.401,0.099,0,0.147,0.107,16,5,0.9,0,0.275,0.45,0.05,0,0.15,0.075,2529.430941,2256.280941,2745.135957,2471.985957,10.62783228,3.69E-07,24.46010156,17.42401102,7.04E-06,0.677944716,0.677944716,1,1,1,1,21.02626979,2525.35,461.7451976,1.458174899,215.7050156,520.2958972,5.102541864,0.072434944,0.480111252,0.00681559,19,0.001563604,172.2211339,1.492164819,16.20472825,0.140401615,7,0.053066823,1,8.3503,65.4,39.9867478,192,44.67661581,2.935779817
